parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
4082301,16100,61305,77405,2,897,9,9,2020,9/9/2020,0,1,95000
2352175,13320,0,13320,,,10,30,2020,10/30/2020,0,1,26000
3964543,74800,510983,585783,,,5,5,2020,5/5/2020,0,0,699000
5266052,125972,196943,322915,2,1292,9,21,2020,9/21/2020,0,0,425000
2820209,22867,215625,238492,5,2904,12,28,2018,12/28/2018,0,0,255000
2820241,23200,97988,121188,3,1008,8,27,2020,8/27/2020,0,0,113000
7775301,31500,170153,201653,2,1510,8,20,2018,8/20/2018,1,1,281000
3798171,142959,110179,253138,,,11,26,2019,11/26/2019,0,0,402000
2447818,17690,79057,96747,2,882,8,9,2018,8/9/2018,0,0,139900
2554703,25909,103182,129091,3,910,8,31,2017,8/31/2017,0,0,139900
5068684,42543,169881,212424,3,2369,6,4,2020,6/4/2020,0,0,260000
2749989,22464,148843,171307,3,1642,9,14,2020,9/14/2020,1,0,175000
2750235,18975,0,18975,,,9,29,2020,9/29/2020,1,0,34000
2750456,24276,83691,107967,2,900,3,29,2017,3/29/2017,1,0,84000
2763736,17040,174699,191739,3,1636,7,26,2017,7/26/2017,1,0,193000
2470828,2041576,0,2041576,,,1,18,2018,1/18/2018,1,1,2400000
2476745,80190,191593,271783,3,2109,7,12,2018,7/12/2018,1,1,344000
2481340,103265,206978,310243,3,2783,2,11,2019,2/11/2019,1,1,425000
2472707,136000,72791,208791,3,1424,9,25,2018,9/25/2018,1,1,233000
2539984,161555,0,161555,,,2,23,2018,2/23/2018,1,1,210000
2848294,48255,0,48255,,,5,24,2017,5/24/2017,1,1,60000
7775573,33000,196326,229326,3,2056,10,19,2017,10/19/2017,1,1,243700
2952245,202180,0,202180,3,2570,6,11,2018,6/11/2018,1,1,315000
2953314,347913,438506,786419,5,3738,8,24,2017,8/24/2017,1,1,860000
4895914,31605,102041,133646,2,1171,6,19,2020,6/19/2020,0,1,180000
4895868,38000,91922,129922,2,1045,6,20,2019,6/20/2019,0,1,155000
2847492,21718,101677,123395,3,1212,8,31,2020,8/31/2020,0,1,170500
2847506,23670,217524,241194,4,2980,6,14,2018,6/14/2018,0,1,238000
3315499,74235,271374,345609,4,2629,3,20,2019,3/20/2019,1,1,444000
3318544,658590,0,658590,,,5,30,2017,5/30/2017,1,1,600000
3318625,109950,111580,221530,2,1504,10,23,2020,10/23/2020,1,1,225000
3318692,156000,51204,207204,3,728,12,21,2017,12/21/2017,1,1,229500
3320760,119000,266632,385632,3,2851,4,8,2019,4/8/2019,1,1,457500
3320786,119000,244042,363042,3,2546,1,24,2019,1/24/2019,1,1,445000
3322371,114400,138541,252941,3,1413,5,8,2019,5/8/2019,1,1,300000
3328078,255250,31959,287209,,,9,15,2018,9/15/2018,1,1,375000
3356799,69500,175224,244724,3,1632,9,28,2018,9/28/2018,1,1,280000
3357159,113700,260424,374124,5,2889,2,1,2018,2/1/2018,1,1,300000
3357477,11813,275379,287192,4,1995,8,14,2019,8/14/2019,1,1,400000
3358066,27090,256915,284005,4,2071,2,26,2020,2/26/2020,1,1,295000
3368070,53933,0,53933,,,1,30,2017,1/30/2017,1,1,80000
2821779,26750,135873,162623,5,1784,12,3,2020,12/3/2020,1,0,266900
3368088,7000,4949,11949,3,460,6,26,2018,6/26/2018,1,1,25000
3373588,42075,0,42075,,,3,16,2020,3/16/2020,1,1,5600
3373707,114000,0,114000,,,7,6,2017,7/6/2017,1,1,160000
3373227,69000,115473,184473,2,2296,1,30,2019,1/30/2019,1,1,210000
3621000,316800,208463,525263,4,2516,8,19,2020,8/19/2020,1,1,780000
3621026,316800,205406,522206,2,1080,8,6,2018,8/6/2018,1,1,760000
3621115,477708,822300,1300008,3,4053,5,25,2018,5/25/2018,1,1,1360000
3621212,309665,589123,898788,4,4588,7,16,2019,7/16/2019,1,1,1100000
3621531,310200,234061,544261,4,2448,8,13,2020,8/13/2020,1,1,870000
3621778,336600,380988,717588,3,1395,5,6,2019,5/6/2019,1,1,935000
3718739,53360,0,53360,,,11,12,2019,11/12/2019,1,1,62500
2934832,46620,215564,262184,3,2086,2,4,2020,2/4/2020,0,1,319286
2934891,46990,184687,231677,3,1977,7,21,2020,7/21/2020,0,1,315000
4816691,57000,259172,316172,3,2016,11,24,2020,11/24/2020,1,1,300000
4816712,57000,266245,323245,3,2274,5,1,2017,5/1/2017,1,1,375000
4816780,57000,245182,302182,3,1844,10,30,2018,10/30/2018,1,1,372000
4816844,57000,231775,288775,2,1877,10,5,2020,10/5/2020,1,1,230000
2943301,92220,280573,372793,5,3681,1,16,2019,1/16/2019,1,1,385600
2560967,23312,0,23312,,,3,3,2017,3/3/2017,1,0,10000
2943386,80295,152102,232397,3,1971,5,23,2018,5/23/2018,1,1,235000
2945800,43747,148358,192105,3,1818,8,25,2017,8/25/2017,1,1,185700
2946008,24400,130104,154504,3,1509,3,29,2019,3/29/2019,1,1,185000
2945192,66000,88809,154809,1,1068,7,30,2020,7/30/2020,1,1,170000
2946407,132235,164579,296814,3,2052,2,10,2020,2/10/2020,1,1,425000
